r,cm	e	O+	O2+	O3+	O4+	O-	O2-	O3-	O4-	O2[a]	O2[b]	O2[Hz]	O	O[1D]	O[1S]	O3	O2	Charge
7.07e-012	2.92e-015	4.89e-011	4.41e-125	3.17e-008	5.31e-010	5.25e-009	2.59e-008	7.61e-125	7.60e-005	6.06e-005	2.81e-008	2.34e-004	9.93e-011	6.74e-010	8.70e-005	1.00e+000	
7.85e-012	3.30e-015	5.32e-011	1.29e-127	3.27e-008	5.74e-010	5.49e-009	2.67e-008	2.26e-127	7.90e-005	6.21e-005	3.05e-008	2.44e-004	1.09e-010	7.30e-010	8.95e-005	1.00e+000	
8.67e-012	3.73e-015	5.78e-011	3.69e-130	3.37e-008	6.18e-010	5.73e-009	2.74e-008	6.52e-130	8.19e-005	6.36e-005	3.30e-008	2.54e-004	1.20e-010	7.89e-010	9.21e-005	1.00e+000	
9.53e-012	4.20e-015	6.26e-011	1.02e-132	3.47e-008	6.65e-010	5.97e-009	2.82e-008	1.83e-132	8.49e-005	6.50e-005	3.56e-008	2.64e-004	1.31e-010	8.51e-010	9.46e-005	9.99e-001	
1.05e-011	4.71e-015	6.78e-011	2.78e-135	3.57e-008	7.15e-010	6.21e-009	2.89e-008	5.03e-135	8.79e-005	6.64e-005	3.84e-008	2.75e-004	1.42e-010	9.16e-010	9.70e-005	9.99e-001	
1.14e-011	5.28e-015	7.32e-011	7.34e-138	3.67e-008	7.66e-010	6.46e-009	2.96e-008	1.35e-137	9.09e-005	6.78e-005	4.13e-008	2.85e-004	1.55e-010	9.85e-010	9.94e-005	9.99e-001	
1.25e-011	5.90e-015	7.90e-011	1.89e-140	3.77e-008	8.20e-010	6.70e-009	3.03e-008	3.52e-140	9.39e-005	6.92e-005	4.44e-008	2.95e-004	1.68e-010	1.06e-009	1.02e-004	9.99e-001	
1.35e-011	6.58e-015	8.52e-011	4.78e-143	3.88e-008	8.77e-010	6.95e-009	3.10e-008	8.99e-143	9.69e-005	7.06e-005	4.77e-008	3.06e-004	1.82e-010	1.13e-009	1.04e-004	9.99e-001	
1.47e-011	7.32e-015	9.17e-011	1.18e-145	3.98e-008	9.37e-010	7.20e-009	3.17e-008	2.24e-145	1.00e-004	7.19e-005	5.12e-008	3.16e-004	1.97e-010	1.21e-009	1.07e-004	9.99e-001	
1.59e-011	8.13e-015	9.86e-011	2.84e-148	4.08e-008	9.99e-010	7.45e-009	3.25e-008	5.47e-148	1.03e-004	7.33e-005	5.48e-008	3.27e-004	2.12e-010	1.30e-009	1.09e-004	9.99e-001	
1.72e-011	9.01e-015	1.06e-010	6.69e-151	4.18e-008	1.06e-009	7.71e-009	3.32e-008	1.31e-150	1.06e-004	7.46e-005	5.87e-008	3.38e-004	2.29e-010	1.39e-009	1.11e-004	9.99e-001	
1.85e-011	9.98e-015	1.14e-010	1.55e-153	4.29e-008	1.13e-009	7.97e-009	3.39e-008	3.05e-153	1.09e-004	7.60e-005	6.28e-008	3.48e-004	2.46e-010	1.48e-009	1.13e-004	9.99e-001	
1.99e-011	1.10e-014	1.22e-010	3.49e-156	4.39e-008	1.21e-009	8.23e-009	3.46e-008	6.99e-156	1.12e-004	7.73e-005	6.71e-008	3.59e-004	2.65e-010	1.58e-009	1.16e-004	9.99e-001	
