r,cm	e	O+	O2+	O3+	O4+	O-	O2-	O3-	O4-	O2[a]	O2[b]	O2[Hz]	O	O[1D]	O[1S]	O3	O2	Charge
2.27e-011	5.16e-016	1.37e-011	3.62e-043	9.65e-009	1.61e-010	8.05e-010	8.33e-009	3.62e-043	5.43e-005	4.38e-005	8.24e-009	1.96e-004	1.83e-011	1.29e-010	5.91e-005	1.00e+000	
1.52e-011	2.81e-016	8.63e-012	2.79e-041	7.52e-009	1.09e-010	5.61e-010	6.54e-009	2.76e-041	4.73e-005	3.75e-005	5.53e-009	1.72e-004	1.24e-011	8.37e-011	5.37e-005	1.00e+000	
1.03e-011	1.49e-016	5.27e-012	1.89e-039	5.78e-009	7.30e-011	3.85e-010	5.05e-009	1.84e-039	4.13e-005	3.16e-005	3.69e-009	1.51e-004	8.45e-012	5.35e-011	4.90e-005	1.00e+000	
7.03e-012	7.64e-017	3.09e-012	1.10e-037	4.39e-009	4.82e-011	2.61e-010	3.83e-009	1.05e-037	3.65e-005	2.60e-005	2.44e-009	1.34e-004	5.72e-012	3.33e-011	4.50e-005	1.00e+000	
4.80e-012	3.73e-017	1.70e-012	5.34e-036	3.30e-009	3.11e-011	1.75e-010	2.85e-009	5.04e-036	3.26e-005	2.08e-005	1.59e-009	1.21e-004	3.84e-012	2.00e-011	4.18e-005	1.00e+000	
3.21e-012	1.68e-017	8.56e-013	2.08e-034	2.48e-009	1.93e-011	1.17e-010	2.06e-009	1.94e-034	2.97e-005	1.58e-005	1.00e-009	1.10e-004	2.54e-012	1.14e-011	3.94e-005	1.00e+000	
1.94e-012	6.55e-018	3.63e-013	6.14e-033	1.90e-009	1.12e-011	7.65e-011	1.41e-009	5.65e-033	2.78e-005	1.10e-005	5.94e-010	1.03e-004	1.63e-012	5.89e-012	3.78e-005	1.00e+000	
7.78e-013	1.82e-018	1.06e-013	1.23e-031	1.31e-009	5.15e-012	4.18e-011	7.82e-010	1.13e-031	2.67e-005	6.31e-006	2.76e-010	9.81e-005	8.82e-013	2.33e-012	3.69e-005	1.00e+000	
1.00e-030	1.00e-030	1.00e-030	1.00e-030	1.00e-030	1.00e-030	1.00e-030	1.00e-030	1.00e-030	2.66e-005	2.88e-006	2.14e-011	9.67e-005	6.77e-014	1.79e-013	3.69e-005	1.00e+000	

Ngas,cm-3	Tgas,K	Te,K	Te,eV
1.61e+018	300.00	300.0	0.026
1.61e+018	300.03	1804471877.4	155490.899
1.61e+018	300.08	5503545340.8	474239.150
1.61e+018	300.13	11334471257.5	976688.605
1.61e+018	300.17	19523193851.3	1682308.820
1.61e+018	300.22	29781800473.3	2566290.433
1.61e+018	300.27	41908755012.1	3611267.127
1.61e+018	300.32	56812048969.3	4895480.308
1.61e+018	300.38	76691986551.4	6608529.647
1.61e+018	300.43	104988471568.2	9046830.812
1.61e+018	300.49	146387366716.7	12614163.440
1.61e+018	300.56	207289762022.2	17862107.886
1.61e+018	300.63	296174777901.7	25521307.876
1.61e+018	300.70	423787769852.5	36517688.053
1.61e+018	300.77	603365818556.9	51991884.408
1.61e+018	300.85	850200828865.8	73261596.628
1.61e+018	300.94	1178926374141.7	101587796.135
1.60e+018	301.02	1601388343425.2	137991240.278
1.60e+018	301.11	2127045747365.6	183287009.683
1.60e+018	301.21	2762411348561.4	238036307.502
1.60e+018	301.30	3504585665507.2	301989286.127
1.60e+018	301.40	4345358143089.4	374438444.040
1.60e+018	301.51	5282164718896.5	455162836.613
1.60e+018	301.61	6318098191492.2	544428969.538
1.60e+018	301.72	7453696959170.2	642283236.464
1.60e+018	301.83	8692493509246.1	749030030.956
1.60e+018	301.94	10048964500659.9	865916803.159
1.60e+018	302.05	11541832255332.4	994556850.955
1.60e+018	302.17	13198213114508.4	1137286782.810
1.60e+018	302.28	15042865417914.6	1296240018.778
1.60e+018	302.40	17114400737504.6	1474743708.531
1.60e+018	302.51	19436864119346.7	1674869807.785
1.60e+018	302.63	22016258279338.0	1897135569.094
1.60e+018	302.75	24881522282567.6	2144034664.590
1.59e+018	302.87	28049178923839.3	2416990859.443
1.59e+018	302.99	31531752362502.8	2717083357.389
1.59e+018	303.11	35338495753829.5	3045109500.545
1.59e+018	303.23	39474262512080.4	3401487506.427
1.59e+018	303.35	43939944753367.2	3786294248.459
1.59e+018	303.47	48734701760717.9	4199457282.268
1.59e+018	303.59	53855640096080.9	4640727281.007
1.59e+018	303.71	59337113954541.4	5113064537.229
1.59e+018	303.83	65120316780375.4	5611401704.470
1.59e+018	303.96	71201976548303.8	6135456833.115
1.59e+018	304.08	77677791912982.8	6693476252.734
1.59e+018	304.21	84546684016384.2	7285366998.396
1.59e+018	304.33	91839304786817.9	7913770339.235
1.59e+018	304.46	99598347434875.0	8582365138.723
1.59e+018	304.59	107877696250096.1	9295794592.856
1.59e+018	304.72	116739473286663.9	10059411743.788
1.58e+018	304.85	126248425824329.2	10878795848.714
1.58e+018	304.98	136476916824615.8	11760182406.257
1.58e+018	305.11	147504722879257.2	12710445745.735
1.58e+018	305.25	159421727759526.5	13737331129.645
1.58e+018	305.38	172232123035296.4	14841199744.532
1.58e+018	305.52	186220453061332.2	16046570707.568
1.58e+018	305.66	201540904321998.0	17366730230.245
1.58e+018	305.80	218112008468931.2	18794658204.992
1.58e+018	305.94	236152635889213.9	20349214639.312
1.58e+018	306.09	255805273184062.2	22042677568.640
1.58e+018	306.23	277214371597767.2	23887494321.221
1.58e+018	306.38	300526293604732.3	25896276915.531
1.58e+018	306.53	325882249675691.7	28081193423.153
1.58e+018	306.68	353423543744036.6	30454419969.327
1.57e+018	306.84	383303718994545.6	33029187332.576
1.57e+018	306.99	415701488467522.0	35820895171.695
1.57e+018	307.15	450798270328983.3	38845176245.496
1.57e+018	307.31	488805720967519.4	42120268933.005
1.57e+018	307.48	529949081451536.9	45665582201.770
1.57e+018	307.64	574478216670052.9	49502646847.915
1.57e+018	307.81	622676337684861.0	53655867099.083
1.57e+018	307.98	674856122894657.3	58152186376.101
1.57e+018	308.15	731358226011467.4	63020958725.676
1.57e+018	308.33	792572165668893.4	68295748872.804
1.57e+018	308.51	858887057672470.9	74010086830.889
1.56e+018	308.69	930718540548608.5	80199788069.678
1.56e+018	308.87	1008520138308421.4	86903932641.829
1.56e+018	309.06	1092779376471367.9	94164530501.626
1.56e+018	309.25	1184012559446186.5	102026071473.174
1.56e+018	309.44	1282799658600472.5	110538531546.788
1.56e+018	309.64	1389762360269339.5	119755481281.287
1.56e+018	309.84	1505546832778452.7	129732600842.607
1.56e+018	310.05	1630783381717390.2	140524203508.608
1.56e+018	310.26	1766216170552926.0	152194413662.467
1.56e+018	310.47	1912651620276155.5	164812720402.943
1.55e+018	310.69	2070887485338652.0	178447866035.213
1.55e+018	310.91	2241863566494769.7	193180832959.480
1.55e+018	311.14	2426606839126898.5	209100115392.236
1.55e+018	311.38	2626183988779818.0	226297629364.913
1.55e+018	311.62	2841758480977969.5	244873630416.025
1.55e+018	311.86	3074624906556607.5	264939673119.914
1.55e+018	312.12	3326434411934574.5	286638036357.999
1.55e+018	312.38	3598735051522152.0	310102115598.634
1.55e+018	312.65	3893243115213079.5	335479803120.472
1.54e+018	312.92	4211687326956485.0	362920062641.662
1.54e+018	313.21	4556296976663309.0	392614991526.352
1.54e+018	313.50	4929427486094302.0	424767555889.212
1.54e+018	313.81	5333803435432113.0	459612532135.469
1.54e+018	314.13	5772299171213004.0	497397602000.259
1.54e+018	314.46	6247893323177737.0	538379433276.841
1.53e+018	314.80	6763166397084566.0	582780387512.673
1.53e+018	315.16	7320871961174246.0	630837739006.829
1.53e+018	315.54	7923154297265990.0	682736259997.069
1.53e+018	315.93	8571246093274085.0	738582170898.241
1.53e+018	316.34	9265260586491854.0	798385229340.099
1.52e+018	316.78	10002071671523158.0	861876059588.381
1.52e+018	317.23	10775710978268394.0	928540368657.337
1.52e+018	317.71	11586445248640530.0	998401141632.101
1.52e+018	318.22	12408917857553198.0	1069273404356.157
1.52e+018	318.75	13234295063399730.0	1140395955484.682
1.51e+018	319.32	14073610822085552.0	1212719588288.285
1.51e+018	319.91	14908202195182366.0	1284636121945.917
1.51e+018	320.54	15729693925923020.0	1355423862638.778
1.50e+018	321.20	16529079640207664.0	1424306733322.504
1.50e+018	321.90	17298335813866864.0	1490593348889.863
1.50e+018	322.63	18015990957498472.0	1552433516372.122
1.49e+018	323.40	18700621448145928.0	1611427957617.055
1.49e+018	324.21	19354008150523844.0	1667730129299.771
1.49e+018	325.05	19935053737239656.0	1717798684811.690
1.48e+018	325.93	20454832592160924.0	1762587901090.989
1.48e+018	326.85	20975591403294020.0	1807461559956.400
1.47e+018	327.79	21454878927845040.0	1848761648241.710
1.47e+018	328.77	21948382425710336.0	1891286723456.298
1.46e+018	329.77	22456511199993208.0	1935072055148.058
1.46e+018	330.79	22891663674574336.0	1972569037016.315
1.46e+018	331.84	23274339735805716.0	2005544139233.582
1.45e+018	332.90	23696569992072516.0	2041927616723.181
1.45e+018	333.97	24120003252997176.0	2078414756828.710
1.44e+018	335.05	24543198676614220.0	2114881402551.850
1.44e+018	336.13	25007005142808060.0	2154847491840.419
1.43e+018	337.21	25618919574218304.0	2207576008118.768
1.43e+018	338.28	26244658536547108.0	2261495780831.289
1.42e+018	339.33	26785264483233572.0	2308079662493.199
1.42e+018	340.37	27485110844704148.0	2368385251590.190
1.41e+018	341.38	28318920815769080.0	2440234452026.633
1.41e+018	342.36	29191311365734072.0	2515408131472.130
1.41e+018	343.31	30093830783627136.0	2593178008067.827
1.40e+018	344.23	30987547903260604.0	2670189392784.197
1.40e+018	345.10	31952638132113412.0	2753350980793.918
1.40e+018	345.92	33009592572728700.0	2844428485370.849
1.39e+018	346.69	34146894820191364.0	2942429540731.699
1.39e+018	347.41	35416883920782264.0	3051864189640.867
1.39e+018	348.06	36841437520044064.0	3174617623441.970
1.39e+018	348.65	38413620967243552.0	3310092284984.365
1.38e+018	349.17	40196127286504480.0	3463690416760.403
1.38e+018	349.62	42265906530301840.0	3642042785894.170
1.38e+018	350.00	44665909970242176.0	3848850492911.864
1.38e+018	350.29	47517431504945704.0	4094565403269.772
1.38e+018	350.50	50903233558645288.0	4386319134738.930
1.38e+018	350.62	54866362868496088.0	4727821014088.418
1.38e+018	350.65	59563179387380544.0	5132544540058.643
1.38e+018	350.58	65112340974504792.0	5610714431236.949
1.38e+018	350.41	71686012983238720.0	6177166133842.199
1.38e+018	350.14	79520967733462048.0	6852302260530.982
1.38e+018	349.76	88839428159708896.0	7655271706997.750
1.38e+018	349.27	99606906369324704.0	8583102660002.129
1.39e+018	348.67	111833743740523940.0	9636686233565.182
1.39e+018	347.94	125715944109248210.0	10832912030094.633
1.39e+018	347.10	141478048691416820.0	12191128711022.561
1.40e+018	346.14	159205802763303780.0	13718724925747.848
1.40e+018	345.05	179394998088360990.0	15458422928768.721
1.40e+018	343.84	203535690040562530.0	17538620425727.061
1.41e+018	342.52	232828293419063780.0	20062756865063.660
1.42e+018	341.08	268109455240500220.0	23102925914735.047
1.42e+018	339.53	312146068368692480.0	26897550053312.578
1.43e+018	337.89	366164664956130370.0	31552319255159.875
1.44e+018	336.15	428285291460876220.0	36905238385254.305
1.44e+018	334.33	496265002773636540.0	42763033414359.031
1.45e+018	332.45	566458587743050240.0	48811597392766.070
1.46e+018	330.52	644257268411612800.0	55515490599880.461
1.47e+018	328.56	744333721005155710.0	64139053942710.531
1.48e+018	326.60	887893293148501380.0	76509547018397.359
1.49e+018	324.65	1101072395410298200.0	94879137906962.359
1.50e+018	322.72	1408073119517892900.0	121333314908909.340
1.51e+018	320.84	1804509447548449800.0	155494135936962.500
1.51e+018	319.03	2250517108161250000.0	193926506519711.340
1.52e+018	317.28	2717368235053848100.0	234154953472972.690
1.53e+018	315.62	3241717730156769300.0	279338020694249.810
1.54e+018	314.07	3893388391780561400.0	335492321566614.500
1.55e+018	312.62	4782707641241625600.0	412124742890273.620
1.55e+018	311.28	6054010483963233300.0	521672596636211.440
1.56e+018	310.05	7824626734717141000.0	674246164129008.250
1.56e+018	308.93	10275811627762577000.0	885464164391432.750
1.57e+018	307.91	13556162949918589000.0	1168131232220473.000
1.57e+018	306.99	17943981505424415000.0	1546228479571255.000
1.58e+018	306.15	23553387295507390000.0	2029589598923515.000
1.58e+018	305.40	30341855057726591000.0	2614550198856233.500
1.59e+018	304.71	38176697194412458000.0	3289676621664150.000
1.59e+018	304.10	46507265636607066000.0	4007519658475404.500
1.59e+018	303.55	54119262244273218000.0	4663443536774943.000
1.59e+018	303.06	59641450501575221000.0	5139289142746680.000
1.60e+018	302.62	62117700475655881000.0	5352666994886332.000
1.60e+018	302.23	61119854261429731000.0	5266682831661330.000
1.60e+018	301.88	56570516304941441000.0	4874667497194437.000
1.60e+018	301.56	48982054983626351000.0	4220771648739884.000
1.60e+018	301.28	39889028246938231000.0	3437227767939528.500
1.60e+018	301.02	30888291315335602000.0	2661636476978509.500
1.61e+018	300.79	22924161481312698000.0	1975369365042024.700
1.61e+018	300.57	16299124825162123000.0	1404491583383207.500
1.61e+018	300.36	11043290522077051000.0	951597632234127.620
1.61e+018	300.15	7131494746439254000.0	614519150921090.370
1.61e+018	300.00	300.0	0.026

Fi,V	Er/N,Td	Er,V/cm	0.000e+000	-1.689e+001	-2.720e+002
1.020e+000	-1.709e+001	-2.751e+002
2.396e+000	-1.726e+001	-2.778e+002
3.785e+000	-1.741e+001	-2.803e+002
5.186e+000	-1.754e+001	-2.823e+002
6.597e+000	-1.763e+001	-2.837e+002
8.016e+000	-1.767e+001	-2.842e+002
9.437e+000	-1.764e+001	-2.837e+002
1.086e+001	-1.754e+001	-2.820e+002
1.227e+001	-1.736e+001	-2.792e+002
1.366e+001	-1.711e+001	-2.751e+002
1.504e+001	-1.678e+001	-2.697e+002
1.638e+001	-1.637e+001	-2.631e+002
1.770e+001	-1.589e+001	-2.553e+002
1.898e+001	-1.535e+001	-2.465e+002
2.021e+001	-1.475e+001	-2.369e+002
2.139e+001	-1.412e+001	-2.266e+002
2.253e+001	-1.347e+001	-2.161e+002
2.361e+001	-1.281e+001	-2.055e+002
2.463e+001	-1.216e+001	-1.950e+002
2.561e+001	-1.153e+001	-1.848e+002
2.653e+001	-1.092e+001	-1.750e+002
2.741e+001	-1.034e+001	-1.657e+002
2.824e+001	-9.796e+000	-1.569e+002
2.902e+001	-9.295e+000	-1.488e+002
2.977e+001	-8.849e+000	-1.416e+002
3.047e+001	-8.472e+000	-1.355e+002
3.115e+001	-8.165e+000	-1.306e+002
3.180e+001	-7.922e+000	-1.266e+002
3.244e+001	-7.735e+000	-1.236e+002
3.306e+001	-7.596e+000	-1.213e+002
3.366e+001	-7.497e+000	-1.197e+002
3.426e+001	-7.434e+000	-1.187e+002
3.485e+001	-7.398e+000	-1.180e+002
3.544e+001	-7.387e+000	-1.178e+002
3.603e+001	-7.394e+000	-1.179e+002
3.662e+001	-7.413e+000	-1.181e+002
3.721e+001	-7.441e+000	-1.185e+002
3.781e+001	-7.475e+000	-1.190e+002
3.840e+001	-7.508e+000	-1.195e+002
3.900e+001	-7.541e+000	-1.200e+002
3.960e+001	-7.570e+000	-1.204e+002
4.020e+001	-7.598e+000	-1.208e+002
4.080e+001	-7.623e+000	-1.211e+002
4.141e+001	-7.643e+000	-1.214e+002
4.202e+001	-7.656e+000	-1.216e+002
4.263e+001	-7.663e+000	-1.216e+002
4.323e+001	-7.665e+000	-1.216e+002
4.384e+001	-7.663e+000	-1.215e+002
4.445e+001	-7.656e+000	-1.214e+002
4.506e+001	-7.647e+000	-1.212e+002
4.566e+001	-7.635e+000	-1.209e+002
4.627e+001	-7.620e+000	-1.206e+002
4.687e+001	-7.603e+000	-1.203e+002
4.747e+001	-7.586e+000	-1.200e+002
4.807e+001	-7.566e+000	-1.196e+002
4.867e+001	-7.545e+000	-1.192e+002
4.927e+001	-7.524e+000	-1.188e+002
4.986e+001	-7.502e+000	-1.184e+002
5.045e+001	-7.478e+000	-1.180e+002
5.104e+001	-7.454e+000	-1.176e+002
5.163e+001	-7.428e+000	-1.171e+002
5.222e+001	-7.400e+000	-1.166e+002
5.280e+001	-7.372e+000	-1.161e+002
5.338e+001	-7.344e+000	-1.156e+002
5.396e+001	-7.315e+000	-1.151e+002
5.453e+001	-7.285e+000	-1.146e+002
5.511e+001	-7.252e+000	-1.140e+002
5.568e+001	-7.218e+000	-1.134e+002
5.624e+001	-7.185e+000	-1.128e+002
5.681e+001	-7.151e+000	-1.122e+002
5.737e+001	-7.117e+000	-1.116e+002
5.793e+001	-7.083e+000	-1.110e+002
5.848e+001	-7.047e+000	-1.104e+002
5.903e+001	-7.012e+000	-1.098e+002
5.958e+001	-6.978e+000	-1.092e+002
6.013e+001	-6.945e+000	-1.086e+002
6.067e+001	-6.912e+000	-1.080e+002
6.121e+001	-6.881e+000	-1.075e+002
6.175e+001	-6.850e+000	-1.069e+002
6.228e+001	-6.819e+000	-1.064e+002
6.282e+001	-6.788e+000	-1.058e+002
6.334e+001	-6.757e+000	-1.053e+002
6.387e+001	-6.728e+000	-1.047e+002
6.439e+001	-6.697e+000	-1.042e+002
6.492e+001	-6.666e+000	-1.036e+002
6.543e+001	-6.633e+000	-1.031e+002
6.595e+001	-6.598e+000	-1.024e+002
6.646e+001	-6.561e+000	-1.018e+002
6.697e+001	-6.523e+000	-1.011e+002
6.748e+001	-6.488e+000	-1.005e+002
6.798e+001	-6.448e+000	-9.980e+001
6.848e+001	-6.407e+000	-9.907e+001
6.897e+001	-6.363e+000	-9.831e+001
6.946e+001	-6.321e+000	-9.758e+001
6.995e+001	-6.280e+000	-9.685e+001
7.044e+001	-6.244e+000	-9.620e+001
7.092e+001	-6.215e+000	-9.566e+001
7.140e+001	-6.198e+000	-9.531e+001
7.187e+001	-6.195e+000	-9.517e+001
7.235e+001	-6.215e+000	-9.536e+001
7.282e+001	-6.259e+000	-9.593e+001
7.330e+001	-6.336e+000	-9.699e+001
7.379e+001	-6.450e+000	-9.861e+001
7.428e+001	-6.599e+000	-1.008e+002
7.479e+001	-6.786e+000	-1.035e+002
7.530e+001	-7.006e+000	-1.067e+002
7.584e+001	-7.252e+000	-1.103e+002
7.639e+001	-7.516e+000	-1.141e+002
7.696e+001	-7.775e+000	-1.178e+002
7.755e+001	-8.014e+000	-1.212e+002
7.815e+001	-8.205e+000	-1.239e+002
7.877e+001	-8.309e+000	-1.252e+002
7.940e+001	-8.295e+000	-1.247e+002
8.002e+001	-8.125e+000	-1.219e+002
8.063e+001	-7.763e+000	-1.162e+002
8.121e+001	-7.171e+000	-1.071e+002
8.175e+001	-6.335e+000	-9.439e+001
8.222e+001	-5.251e+000	-7.803e+001
8.261e+001	-3.910e+000	-5.794e+001
8.290e+001	-2.318e+000	-3.425e+001
8.307e+001	-4.935e-001	-7.273e+000
8.311e+001	1.554e+000	2.283e+001
8.299e+001	3.811e+000	5.583e+001
8.272e+001	6.265e+000	9.149e+001
8.226e+001	8.883e+000	1.293e+002
8.161e+001	1.164e+001	1.688e+002
8.077e+001	1.452e+001	2.100e+002
7.972e+001	1.750e+001	2.523e+002
7.846e+001	2.054e+001	2.951e+002
7.698e+001	2.360e+001	3.381e+002
7.529e+001	2.667e+001	3.809e+002
7.339e+001	2.974e+001	4.233e+002
7.127e+001	3.276e+001	4.650e+002
6.894e+001	3.572e+001	5.055e+002
6.642e+001	3.861e+001	5.447e+002
6.369e+001	4.143e+001	5.829e+002
6.078e+001	4.416e+001	6.198e+002
5.768e+001	4.671e+001	6.538e+002
5.441e+001	4.914e+001	6.862e+002
5.098e+001	5.144e+001	7.167e+002
4.740e+001	5.358e+001	7.450e+002
4.367e+001	5.556e+001	7.711e+002
3.982e+001	5.739e+001	7.952e+002
3.584e+001	5.908e+001	8.173e+002
3.175e+001	6.058e+001	8.370e+002
2.757e+001	6.193e+001	8.547e+002
2.329e+001	6.315e+001	8.708e+002
1.894e+001	6.421e+001	8.849e+002
1.452e+001	6.513e+001	8.973e+002
1.003e+001	6.593e+001	9.083e+002
5.488e+000	6.661e+001	9.178e+002
8.992e-001	6.716e+001	9.258e+002
-3.730e+000	6.757e+001	9.322e+002
-8.391e+000	6.782e+001	9.366e+002
-1.307e+001	6.793e+001	9.395e+002
-1.777e+001	6.796e+001	9.415e+002
-2.248e+001	6.792e+001	9.429e+002
-2.719e+001	6.777e+001	9.431e+002
-3.191e+001	6.741e+001	9.407e+002
-3.661e+001	6.706e+001	9.388e+002
-4.131e+001	6.654e+001	9.348e+002
-4.598e+001	6.526e+001	9.203e+002
-5.058e+001	6.408e+001	9.075e+002
-5.512e+001	6.283e+001	8.938e+002
-5.959e+001	6.140e+001	8.777e+002
-6.398e+001	6.039e+001	8.678e+002
-6.832e+001	5.957e+001	8.606e+002
-7.262e+001	5.947e+001	8.641e+002
-7.694e+001	5.915e+001	8.644e+002
-8.126e+001	5.813e+001	8.546e+002
-8.554e+001	5.638e+001	8.339e+002
-8.970e+001	5.421e+001	8.065e+002
-9.374e+001	5.251e+001	7.859e+002
-9.767e+001	5.214e+001	7.850e+002
-1.016e+002	5.333e+001	8.075e+002
-1.056e+002	5.536e+001	8.429e+002
-1.098e+002	5.654e+001	8.653e+002
-1.142e+002	5.606e+001	8.623e+002
-1.185e+002	5.390e+001	8.329e+002
-1.226e+002	5.060e+001	7.853e+002
-1.266e+002	4.684e+001	7.297e+002
-1.302e+002	4.315e+001	6.746e+002
-1.336e+002	3.990e+001	6.259e+002
-1.367e+002	3.735e+001	5.876e+002
-1.397e+002	3.555e+001	5.610e+002
-1.425e+002	3.445e+001	5.450e+002
-1.452e+002	3.390e+001	5.373e+002
-1.479e+002	3.374e+001	5.360e+002
-1.506e+002	3.384e+001	5.385e+002
-1.533e+002	3.407e+001	5.431e+002
-1.560e+002	3.436e+001	5.484e+002
-1.587e+002	3.465e+001	5.538e+002
-1.615e+002	3.492e+001	5.588e+002
-1.643e+002	3.516e+001	5.632e+002
-1.671e+002	3.537e+001	5.670e+002
-1.699e+002	3.555e+001	5.705e+002
-1.728e+002	3.575e+001	5.741e+002
-1.756e+002	3.598e+001	5.783e+002
-1.785e+002	3.631e+001	5.840e+002
-1.815e+002	3.672e+001	5.909e+002
-1.837e+002

