E/N,Td	Vdr,cm/s	Te,eV	Mue*N,1/(cm*s*V)	De*N,1/(cm*s)		MuE*N,1/(cm*s*V)	DE*N,1/(cm*s)	(R1)e+O->e+O[1D]	(R2)e+O[1D]->e+O	(R3)e+O->e+O[1S]	(R4)e+O[1S]->e+O	(R5)e+O2->e+O2[a]	(R6)e+O2[a]->e+O2	(R7)e+O2->e+O2[b]	(R8)e+O2[b]->e+O2	(R9)e+O2[a]->e+O2[b]	(R10)e+O2[b]->e+O2[a]	(R11)e+O2->e+O2[Hz]	(R12)e+O2[Hz]->e+O2	(R13)e+O2->e+O+O	(R14)e+O2->e+O+O[1D]	(R15)e+O2->e+O+O[1S]	(R16)e+O2->O+O-	(R17)e+O2->O2++e+e	(R18)e+O->O++e+e	(R19)e+O2->O2++e+e	
200.00	2.405e+007	4.568e+000	1.203e+022	6.301e+022	1.722e+022	7.386e+022	4.961e-009	1.280e-008	2.941e-010	6.320e-009	7.470e-010	1.357e-009	2.166e-010	8.595e-010	2.232e-010	4.897e-010	7.834e-010	1.507e-009	8.502e-010	3.386e-009	1.349e-010	4.138e-011	4.152e-010	6.484e-010	1.280e-011	
205.00	2.454e+007	4.631e+000	1.197e+022	6.334e+022	1.713e+022	7.447e+022	4.970e-009	1.276e-008	2.982e-010	6.321e-009	7.494e-010	1.358e-009	2.173e-010	8.589e-010	2.236e-010	4.899e-010	7.810e-010	1.489e-009	8.712e-010	3.522e-009	1.422e-010	4.108e-011	4.511e-010	7.035e-010	1.472e-011	
210.00	2.502e+007	4.694e+000	1.192e+022	6.367e+022	1.704e+022	7.508e+022	4.977e-009	1.272e-008	3.022e-010	6.321e-009	7.517e-010	1.358e-009	2.179e-010	8.582e-010	2.239e-010	4.900e-010	7.785e-010	1.472e-009	8.916e-010	3.658e-009	1.497e-010	4.078e-011	4.887e-010	7.608e-010	1.682e-011	
215.00	2.551e+007	4.756e+000	1.187e+022	6.400e+022	1.695e+022	7.570e+022	4.983e-009	1.267e-008	3.061e-010	6.321e-009	7.537e-010	1.358e-009	2.185e-010	8.575e-010	2.242e-010	4.901e-010	7.757e-010	1.456e-009	9.114e-010	3.793e-009	1.572e-010	4.047e-011	5.278e-010	8.203e-010	1.911e-011	
220.00	2.600e+007	4.818e+000	1.182e+022	6.433e+022	1.687e+022	7.632e+022	4.988e-009	1.263e-008	3.098e-010	6.321e-009	7.556e-010	1.358e-009	2.190e-010	8.567e-010	2.244e-010	4.901e-010	7.728e-010	1.440e-009	9.307e-010	3.929e-009	1.648e-010	4.015e-011	5.686e-010	8.818e-010	2.162e-011	
225.00	2.649e+007	4.879e+000	1.177e+022	6.466e+022	1.679e+022	7.695e+022	4.992e-009	1.259e-008	3.134e-010	6.319e-009	7.573e-010	1.358e-009	2.195e-010	8.559e-010	2.247e-010	4.901e-010	7.697e-010	1.424e-009	9.495e-010	4.064e-009	1.725e-010	3.984e-011	6.109e-010	9.454e-010	2.433e-011	
230.00	2.697e+007	4.941e+000	1.173e+022	6.500e+022	1.672e+022	7.759e+022	4.996e-009	1.254e-008	3.169e-010	6.318e-009	7.588e-010	1.358e-009	2.200e-010	8.550e-010	2.248e-010	4.900e-010	7.665e-010	1.410e-009	9.677e-010	4.199e-009	1.802e-010	3.952e-011	6.547e-010	1.011e-009	2.726e-011	
235.00	2.746e+007	5.002e+000	1.169e+022	6.533e+022	1.665e+022	7.822e+022	4.998e-009	1.250e-008	3.203e-010	6.316e-009	7.602e-010	1.357e-009	2.204e-010	8.541e-010	2.250e-010	4.899e-010	7.632e-010	1.395e-009	9.855e-010	4.334e-009	1.880e-010	3.921e-011	7.000e-010	1.078e-009	3.042e-011	
240.00	2.796e+007	5.062e+000	1.165e+022	6.566e+022	1.658e+022	7.886e+022	4.999e-009	1.246e-008	3.235e-010	6.313e-009	7.615e-010	1.357e-009	2.208e-010	8.531e-010	2.252e-010	4.898e-010	7.598e-010	1.382e-009	1.003e-009	4.468e-009	1.959e-010	3.889e-011	7.468e-010	1.148e-009	3.380e-011	
245.00	2.845e+007	5.123e+000	1.161e+022	6.600e+022	1.651e+022	7.950e+022	5.000e-009	1.241e-008	3.266e-010	6.310e-009	7.626e-010	1.356e-009	2.212e-010	8.521e-010	2.253e-010	4.896e-010	7.563e-010	1.368e-009	1.019e-009	4.602e-009	2.038e-010	3.858e-011	7.951e-010	1.219e-009	3.743e-011	
